gname	totalEvents	totalKilled	totalWounded	foreignTarget	ratioForeignTarget
Workers Power	1	0	0	0	0
Workers' Forces of Liberation	1	0	0	0	0
Workers' Organization for Communism	2	0	1	0	0
Workers' Revolutionary Party	1	1	0	0	0
Workers' Self-Defense Movement (MAO)	15	4	0	1	0.0666666666666667
Workers/Employees	8	4	100	0	0
Working People's Alliance (WPA)	1	1	1	0	0
World Church of the Creator	6	3	9	0	0
World Punishment Organization	1	0	0	0	0
Worldwide Organization of Native Taiwanese	1	1	0	1	1
Xhosa Tribal Workers	1	6	9	0	0
Yamaguchi-Gumi Gang	1	0	0	1	1
Yatama	2	2	0	0	0
Yazbik Revolutionary Organization	1	2	12	0	0
Yellow Organization of Air Force Officers	3	0	2	0	0
Yemenis	4	0	1	2	0.5
Yich Telga	1	0	0	1	1
Yimchunger Liberation Front (YLF)	1	0	0	0	0
Yokoku Seiwa-Kai	1	0	0	0	0
Young Brigade of Navarro	1	0	0	0	0
Young Communist League	10	0	59	0	0
Young Cuba	2	1	7	2	1
Young Liberators of Pattani	1	0	0	0	0
Young Officer Union of the New Generation and Reformist Armed Forces of the Philippines (YOU-RAFP)	1	0	0	0	0
Young Pioneers	1	2	0	0	0
Youth Action Group	6	0	7	3	0.5
Youth for Revolution	1	0	0	0	0
Youth Gang	1	0	0	1	1
Youth of Islamic Awakening	1	0	0	0	0
Youths	22	0	19	2	0.0909090909090909
Youths of Ali Movement	2	1	0	0	0
Youths of the Star	1	0	0	1	1
Zaghawa ethnic group	1	0	0	0	0
Zairian Dissidents	1	13	0	0	0
Zapatista National Liberation Army	24	81	21	1	0.0416666666666667
Zarate Willka Armed Forces of Liberation	5	2	0	3	0.6
Zebra killers	20	15	8	0	0
Zeliangrong United Front	1	7	6	0	0
Zemun Clan	1	1	0	0	0
Zero Point	1	0	0	0	0
Zero Tolerance	2	0	0	0	0
Zimbabwe African Nationalist Union (ZANU)	22	27	30	2	0.0909090909090909
Zimbabwe African People's Union	13	143	14	2	0.153846153846154
Zimbabwe Guerrillas	4	0	2	0	0
Zimbabwe Patriotic Front	9	15	3	1	0.111111111111111
Zimbabwe People's Army (ZIPA)	2	0	0	0	0
Zintani Militia	1	0	0	0	0
Zionist Resistance Fighters	1	1	0	0	0
Zulu Militants	1	21	100	0	0
Zulu Miners	1	1	10	0	0
Zviadists	1	0	0	1	1
